,marital_status,application_mode,course,time_attendance,previous_qualification,mother_qualification,father_qualification,mother_occupation,father_occupation,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,GDP,graduate
1837,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,yes,2.0,132.0,128.0,19.0,0.0,8.0,8.0,7.0,14.935714285714283,0.0,1.74,1
1838,single,Change of course,Tourism,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,3.0,110.0,107.2,19.0,1.0,6.0,16.0,2.0,10.5,0.0,0.32,0
1839,single,1st phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,yes,no,yes,male,no,1.0,116.0,110.1,19.0,0.0,6.0,9.0,5.0,13.333333333333334,0.0,1.79,1
1840,single,Change of course,Agronomy,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,yes,yes,male,no,1.0,119.0,119.0,23.0,0.0,6.0,6.0,0.0,0.0,0.0,-4.06,0
1841,married,Over 23 years old,Journalism and Communication,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Intermediate Level Technicians and Professions,no,no,yes,male,no,1.0,120.0,155.5,47.0,0.0,6.0,12.0,5.0,13.8,0.0,-1.7,0
1842,single,1st phase - general contingent,Communication Design,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Unskilled Workers,no,no,yes,male,no,1.0,117.0,118.4,19.0,0.0,6.0,6.0,6.0,11.833333333333334,0.0,-0.92,1
1843,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Administrative staff,Installation and Machine Operators and Assembly Workers,yes,no,yes,male,no,4.0,137.0,141.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1
1844,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,no,yes,male,no,1.0,124.0,119.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,0
1845,single,Change of course,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",no,no,yes,male,no,1.0,151.0,111.0,28.0,0.0,5.0,9.0,2.0,10.0,0.0,-4.06,0
1846,single,Change of course,Tourism,daytime,Frequency of higher education,Unknown,Unknown ,Student,Student,yes,no,yes,male,no,1.0,138.6,138.6,20.0,0.0,6.0,10.0,4.0,11.5,0.0,0.32,0
1847,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,yes,no,yes,male,yes,1.0,136.0,150.4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1
1848,single,Over 23 years old,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",no,yes,no,male,no,1.0,133.1,102.5,24.0,0.0,6.0,7.0,0.0,0.0,0.0,-0.92,0
1849,single,Over 23 years old,Tourism,daytime,Secondary education,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff,no,no,yes,male,no,1.0,150.0,122.3,28.0,0.0,6.0,10.0,6.0,13.0,0.0,0.79,1
1850,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,yes,4.0,133.0,126.4,18.0,0.0,7.0,7.0,7.0,13.462857142857144,0.0,2.02,1
1851,single,Over 23 years old,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Other Situation,Other Situation,no,no,yes,male,no,1.0,133.1,100.0,48.0,0.0,6.0,13.0,3.0,10.0,0.0,0.32,0
1852,single,2nd phase - general contingent,Social Service,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,male,no,4.0,129.0,117.1,21.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,3.51,1
1853,single,Technological specialization diploma holders,Informatics Engineering,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Other - 11th Year of Schooling,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,yes,no,male,no,1.0,130.0,129.4,23.0,0.0,5.0,6.0,0.0,0.0,0.0,0.79,0
1854,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,yes,no,yes,male,no,1.0,141.0,138.9,18.0,0.0,5.0,5.0,5.0,13.6,0.0,1.74,1
1855,single,Technological specialization diploma holders,Social Service,daytime,Technological specialization course,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,no,no,yes,male,no,1.0,140.0,138.6,22.0,3.0,6.0,7.0,6.0,12.333333333333334,0.0,0.79,0
1856,single,1st phase - special contingent (Madeira Island),Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,no,1.0,122.0,133.9,25.0,9.0,13.0,16.0,10.0,11.454545454545457,0.0,1.79,0
1857,single,Holders of other higher courses,Veterinary Nursing,daytime,Higher education - degree (1st cycle),Higher Education - Doctorate,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,yes,yes,male,no,1.0,140.0,140.0,27.0,8.0,13.0,13.0,8.0,13.5,2.0,2.02,0
1858,single,Over 23 years old,Informatics Engineering,daytime,Other - 11th year of schooling,Unknown,Unknown ,Student,Student,no,no,no,male,no,1.0,133.1,95.1,49.0,0.0,5.0,5.0,0.0,0.0,0.0,1.74,0
1859,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,no,male,no,1.0,120.0,128.2,31.0,0.0,5.0,5.0,2.0,11.0,0.0,-1.7,0
1860,single,Over 23 years old,Tourism,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,male,no,1.0,133.1,121.5,54.0,0.0,6.0,9.0,6.0,13.714285714285714,0.0,-0.92,0
1861,single,Holders of other higher courses,Biofuel Production Technologies,daytime,Higher education - degree (1st cycle),Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",yes,yes,no,male,no,1.0,120.0,120.0,25.0,18.0,21.0,26.0,21.0,12.363636363636363,0.0,2.02,0
1862,single,Holders of other higher courses,Communication Design,daytime,Higher education - degree,Higher Education - Master,Higher Education - Master,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,120.0,120.0,28.0,0.0,6.0,9.0,2.0,12.0,0.0,-1.7,0
1863,married,Over 23 years old,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,male,no,1.0,133.1,107.0,41.0,1.0,7.0,7.0,7.0,12.857142857142858,0.0,-1.7,1
1864,single,Change of course,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,yes,male,no,1.0,123.0,114.4,22.0,0.0,5.0,6.0,0.0,0.0,0.0,-4.06,0
1865,single,1st phase - general contingent,Tourism,daytime,Secondary education,Higher Education - Bachelor,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,no,no,yes,male,no,1.0,178.0,157.7,34.0,0.0,6.0,13.0,2.0,13.5,0.0,-4.06,0
1866,single,Over 23 years old,Agronomy,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,yes,no,male,no,1.0,130.0,150.0,28.0,5.0,11.0,14.0,11.0,15.090909090909092,0.0,2.02,0
1867,single,Holders of other higher courses,Agronomy,daytime,Higher education - degree,Technological specialization course,Technological specialization course,Unskilled Workers,Administrative staff,no,no,yes,male,no,1.0,140.0,140.0,50.0,2.0,6.0,8.0,2.0,13.5,0.0,-4.06,0
1868,single,1st phase - general contingent,Management,daytime,Secondary education,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff,yes,no,yes,male,no,4.0,108.0,109.1,19.0,0.0,5.0,5.0,0.0,0.0,0.0,1.79,0
1869,single,Change of course,Nursing,daytime,Secondary education,Higher Education - Degree,Higher Education - Master,Specialists in Intellectual and Scientific Activities,Administrative staff,no,no,yes,male,no,1.0,120.0,120.6,18.0,0.0,7.0,12.0,4.0,12.65,0.0,-0.92,0
1870,married,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",no,no,yes,male,no,1.0,100.0,161.9,59.0,0.0,5.0,7.0,0.0,0.0,0.0,-0.92,0
1871,married,Holders of other higher courses,Management (evening attendance),evening,Higher education - degree,Unknown,Unknown ,(blank),(blank),yes,no,no,male,no,1.0,140.0,140.0,33.0,0.0,5.0,5.0,0.0,0.0,0.0,0.32,0
1872,single,2nd phase - general contingent,Communication Design,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Armed Forces Professions,yes,no,yes,male,yes,2.0,133.1,178.0,23.0,0.0,6.0,8.0,6.0,13.333333333333334,0.0,-3.12,1
1873,married,Over 23 years old,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,yes,male,no,1.0,133.1,138.3,44.0,0.0,5.0,9.0,3.0,11.333333333333334,0.0,0.79,0
1874,married,1st phase - general contingent,Social Service (evening attendance),evening,Secondary education,Unknown,Unknown ,Student,Student,yes,no,yes,male,no,4.0,140.0,128.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0,-3.12,0
1875,married,Over 23 years old,Animation and Multimedia Design,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,1.0,100.0,139.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0
1876,single,1st phase - general contingent,Management (evening attendance),evening,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,no,no,no,male,no,2.0,123.0,113.2,22.0,0.0,5.0,7.0,3.0,11.666666666666666,0.0,0.32,0
1877,married,Over 23 years old,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,male,no,1.0,133.1,139.0,49.0,0.0,6.0,8.0,6.0,12.166666666666666,0.0,1.79,1
1878,single,Change of institution/course,Journalism and Communication,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Professional higher technical course,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,yes,no,yes,male,no,1.0,135.0,110.0,23.0,0.0,6.0,7.0,6.0,13.333333333333334,0.0,2.02,1
1879,married,Change of course,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,yes,male,no,1.0,120.0,161.1,47.0,0.0,6.0,9.0,6.0,12.142857142857142,0.0,-0.92,0
1880,single,Change of course,Agronomy,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Bachelor,Administrative staff,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,130.0,130.0,28.0,9.0,18.0,36.0,17.0,13.058823529411764,1.0,-4.06,1
1881,single,1st phase - general contingent,Tourism,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,yes,no,male,no,1.0,133.1,121.0,21.0,0.0,6.0,9.0,5.0,11.833333333333334,0.0,3.51,0
1882,single,Change of course,Social Service,daytime,Technological specialization course,Higher Education - Bachelor,Secondary Education - 12th Year of Schooling or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,120.0,118.6,21.0,9.0,11.0,14.0,10.0,12.4,0.0,0.79,1
1883,married,Transfer,Management,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,no,male,no,1.0,133.1,115.8,49.0,0.0,5.0,5.0,0.0,0.0,0.0,1.74,0
1884,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,no,no,yes,male,no,1.0,120.0,160.0,40.0,0.0,5.0,5.0,5.0,11.0,0.0,-4.06,1
1885,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,no,no,yes,male,yes,1.0,125.0,114.5,22.0,0.0,6.0,8.0,6.0,13.625,0.0,2.02,1
1886,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,male,no,1.0,133.1,121.7,31.0,0.0,5.0,5.0,0.0,0.0,0.0,0.79,0
1887,single,Transfer,Informatics Engineering,daytime,Secondary education,Higher Education - Doctorate,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,120.0,115.0,30.0,1.0,6.0,9.0,2.0,15.0,0.0,-4.06,0
1888,single,1st phase - general contingent,Social Service,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,no,no,yes,male,no,1.0,127.0,125.3,19.0,0.0,6.0,9.0,5.0,10.8,0.0,0.32,1
1889,single,3rd phase - general contingent,Management,daytime,Secondary education,Unknown,Unknown ,Other Situation,Other Situation,no,no,yes,male,no,1.0,131.0,131.0,22.0,0.0,5.0,11.0,3.0,13.666666666666666,0.0,-3.12,0
1890,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,1.0,127.0,126.3,19.0,0.0,6.0,8.0,6.0,12.833333333333334,0.0,-4.06,1
1891,single,2nd phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Administrative staff,Unskilled Workers,no,no,no,male,no,1.0,132.0,127.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0
1892,single,2nd phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,male,no,3.0,137.0,138.4,19.0,0.0,6.0,8.0,6.0,15.125,0.0,2.02,1
1893,single,Change of course,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,yes,no,yes,male,no,2.0,126.0,100.0,22.0,0.0,5.0,11.0,0.0,0.0,0.0,-0.92,0
1894,single,1st phase - general contingent,Social Service,daytime,Secondary education,Higher Education - Master,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,136.0,126.2,22.0,0.0,6.0,10.0,5.0,11.4,0.0,1.74,1
1895,single,1st phase - general contingent,Social Service,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,yes,male,no,1.0,124.0,118.8,19.0,0.0,6.0,12.0,4.0,12.25,0.0,-3.12,1
1896,single,Over 23 years old,Tourism,daytime,Technological specialization course,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,no,no,no,male,no,1.0,137.0,124.5,26.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.92,0
1897,single,2nd phase - general contingent,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,no,no,yes,male,no,1.0,133.1,95.0,20.0,0.0,5.0,14.0,0.0,0.0,0.0,2.02,0
1898,single,Holders of other higher courses,Equinculture,daytime,Higher education - degree,Higher Education - Bachelor,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,yes,no,no,male,no,1.0,140.0,140.0,18.0,2.0,5.0,7.0,2.0,13.0,0.0,-1.7,0
1899,divorced,Change of course,Management (evening attendance),evening,Basic education 2nd cycle (6th/7th/8th year) or equivalent,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Unskilled Workers,no,no,yes,male,no,2.0,133.1,125.4,39.0,0.0,2.0,5.0,0.0,0.0,0.0,1.74,0
1900,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Other Situation,Other Situation,no,no,yes,male,no,1.0,141.0,128.0,18.0,0.0,8.0,8.0,0.0,0.0,3.0,1.74,0
1901,single,2nd phase - general contingent,Informatics Engineering,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,no,no,yes,male,yes,3.0,130.0,129.3,18.0,0.0,5.0,5.0,5.0,13.0,0.0,3.51,1
1902,single,1st phase - general contingent,Social Service,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,no,yes,male,yes,1.0,160.0,152.0,19.0,0.0,6.0,7.0,6.0,13.857142857142858,0.0,0.79,1
1903,single,1st phase - general contingent,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,1.0,140.0,128.8,18.0,0.0,7.0,7.0,6.0,13.391666666666666,0.0,1.79,1
1904,single,1st phase - general contingent,Management,daytime,Secondary education,Unknown,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Student,Administrative staff,yes,no,yes,male,yes,1.0,150.0,152.8,18.0,0.0,5.0,7.0,4.0,12.75,0.0,0.32,0
1905,single,Technological specialization diploma holders,Equinculture,daytime,Technological specialization course,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",yes,no,yes,male,no,1.0,150.0,150.0,22.0,0.0,5.0,7.0,4.0,14.5,0.0,1.74,1
1906,single,1st phase - general contingent,Social Service,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff,no,no,yes,male,no,1.0,133.1,112.0,19.0,0.0,6.0,7.0,6.0,12.166666666666666,0.0,1.79,1
1907,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,yes,male,no,1.0,152.0,135.6,18.0,0.0,5.0,5.0,5.0,15.4,0.0,-1.7,0
1908,single,Over 23 years old,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,no,yes,no,male,no,1.0,133.1,134.4,31.0,0.0,5.0,9.0,2.0,13.333333333333334,0.0,-0.92,0
1909,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,no,no,yes,male,no,1.0,130.0,120.5,28.0,0.0,5.0,5.0,0.0,0.0,0.0,-1.7,0
1910,single,1st phase - general contingent,Communication Design,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,no,no,yes,male,no,1.0,148.0,141.4,19.0,0.0,6.0,0.0,0.0,0.0,0.0,-4.06,0
1911,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,no,no,yes,male,no,1.0,148.0,145.2,20.0,0.0,6.0,7.0,6.0,13.714285714285714,0.0,-0.92,1
1912,divorced,Over 23 years old,Social Service,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,no,no,yes,male,no,1.0,130.0,140.0,50.0,0.0,6.0,7.0,4.0,12.25,0.0,3.51,0
1913,married,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,1.0,130.0,140.0,31.0,0.0,5.0,8.0,1.0,11.0,0.0,-3.12,0
1914,single,3rd phase - general contingent,Social Service,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,yes,no,yes,male,no,1.0,122.0,112.6,21.0,0.0,6.0,9.0,6.0,10.166666666666666,0.0,-1.7,1
1915,married,Over 23 years old,Informatics Engineering,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,male,no,1.0,110.0,106.8,34.0,0.0,5.0,8.0,1.0,10.0,0.0,3.51,0
1916,married,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",Administrative staff,yes,no,no,male,no,1.0,110.0,120.0,40.0,0.0,5.0,10.0,2.0,10.5,0.0,-3.12,0
1917,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Specialists in Intellectual and Scientific Activities,yes,no,yes,male,yes,1.0,170.0,160.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,1
1918,married,Over 23 years old,Communication Design,daytime,Other - 11th year of schooling,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,no,yes,no,male,yes,1.0,110.0,130.0,46.0,0.0,6.0,6.0,0.0,0.0,0.0,-4.06,0
1919,single,Change of course,Social Service (evening attendance),evening,Secondary education,Unknown,Unknown ,Student,Student,no,no,yes,male,no,5.0,110.0,110.0,37.0,0.0,6.0,12.0,0.0,0.0,0.0,0.32,0
